Date,Description,Debit (Rs),Credit (Rs),Balance (Rs)
2026-08-01,Opening Balance,,,"Rs 82,450.00"
2026-08-02,Salary Credit - ABC Textiles Pvt Ltd,,"Rs 95,000.00","Rs 177,450.00"
2026-08-03,K-Electric Bill Payment,"Rs 5,420.00",,"Rs 172,030.00"
2026-08-05,PTCL Internet Bill,"Rs 3,200.00",,"Rs 168,830.00"
2026-08-06,ATM Withdrawal - DHA Branch,"Rs 10,000.00",,"Rs 158,830.00"
2026-08-09,Imtiaz Super Market,"Rs 4,875.50",,"Rs 153,954.50"
2026-08-11,Netflix Pakistan Subscription,"Rs 1,490.00",,"Rs 152,464.50"
2026-08-13,Fund Transfer to Ahmed Raza,"Rs 15,000.00",,"Rs 137,464.50"
2026-08-15,Mobile Load - Jazz,"Rs 1,000.00",,"Rs 136,464.50"
2026-08-18,Incoming Transfer - Freelance Payment,,"Rs 22,500.00","Rs 158,964.50"
2026-08-20,Liberty Books Purchase,"Rs 2,340.00",,"Rs 156,624.50"
2026-08-22,K-Electric Bill Payment,"Rs 5,610.00",,"Rs 151,014.50"
2026-08-25,PTCL Internet Bill,"Rs 3,200.00",,"Rs 147,814.50"
2026-08-27,Cheque Deposit - Client Invoice,,"Rs 40,000.00","Rs 187,814.50"
2026-08-29,Cash Withdrawal - Gulberg Branch,"Rs 8,000.00",,"Rs 179,814.50"
2026-08-31,Profit / Markup Credit,,"Rs 612.75","Rs 180,427.25"
